Date,Year,Month,Station,Source,Taxa,Common Name,Length,Count
4/26/1995,1995,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/26/1995,1995,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,12,1
4/26/1995,1995,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,13,1
6/22/1995,1995,Jun,705,20mm,Acipenser transmontanus,White Sturgeon,15,1
7/10/1995,1995,Jul,704,20mm,Acipenser transmontanus,White Sturgeon,150,1
7/10/1995,1995,Jul,704,20mm,Acipenser transmontanus,White Sturgeon,125,1
7/10/1995,1995,Jul,704,20mm,Acipenser transmontanus,White Sturgeon,102,1
7/10/1995,1995,Jul,704,20mm,Acipenser transmontanus,White Sturgeon,77,1
4/27/1996,1996,Apr,609,20mm,Acipenser transmontanus,White Sturgeon,57,1
5/13/1996,1996,May,343,20mm,Acipenser transmontanus,White Sturgeon,315,1
6/13/1996,1996,Jun,343,20mm,Acipenser transmontanus,White Sturgeon,490,1
6/27/1996,1996,Jun,609,20mm,Acipenser transmontanus,White Sturgeon,425,1
7/12/1996,1996,Jul,343,20mm,Acipenser transmontanus,White Sturgeon,370,1
5/1/1997,1997,May,606,20mm,Acipenser transmontanus,White Sturgeon,420,1
7/13/1997,1997,Jul,501,20mm,Acipenser transmontanus,White Sturgeon,495,1
4/8/1998,1998,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,12,2
4/8/1998,1998,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,11,4
4/8/1998,1998,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,12,2
4/8/1998,1998,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,11,2
4/8/1998,1998,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,10,4
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,13,4
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,12,5
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,11,1
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,9,1
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,12,4
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,11,2
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,21,1
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,12,2
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,11,2
4/8/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,10,1
4/9/1998,1998,Apr,418,20mm,Acipenser transmontanus,White Sturgeon,14,2
4/9/1998,1998,Apr,602,20mm,Acipenser transmontanus,White Sturgeon,14,1
4/9/1998,1998,Apr,602,20mm,Acipenser transmontanus,White Sturgeon,12,2
4/9/1998,1998,Apr,602,20mm,Acipenser transmontanus,White Sturgeon,12,2
4/9/1998,1998,Apr,602,20mm,Acipenser transmontanus,White Sturgeon,10,1
4/11/1998,1998,Apr,501,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/11/1998,1998,Apr,501,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/11/1998,1998,Apr,501,20mm,Acipenser transmontanus,White Sturgeon,14,1
4/11/1998,1998,Apr,501,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/11/1998,1998,Apr,504,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/23/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,14,1
4/23/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,12,1
4/23/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,14,1
4/23/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/23/1998,1998,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,13,1
5/5/1998,1998,May,707,20mm,Acipenser transmontanus,White Sturgeon,13,2
5/5/1998,1998,May,711,20mm,Acipenser transmontanus,White Sturgeon,19,1
5/5/1998,1998,May,711,20mm,Acipenser transmontanus,White Sturgeon,13,1
5/5/1998,1998,May,711,20mm,Acipenser transmontanus,White Sturgeon,12,2
5/5/1998,1998,May,711,20mm,Acipenser transmontanus,White Sturgeon,12,1
5/5/1998,1998,May,711,20mm,Acipenser transmontanus,White Sturgeon,11,1
5/6/1998,1998,May,704,20mm,Acipenser transmontanus,White Sturgeon,13,1
5/20/1998,1998,May,704,20mm,Acipenser transmontanus,White Sturgeon,18,1
5/20/1998,1998,May,704,20mm,Acipenser transmontanus,White Sturgeon,16,1
5/20/1998,1998,May,704,20mm,Acipenser transmontanus,White Sturgeon,14,1
5/20/1998,1998,May,704,20mm,Acipenser transmontanus,White Sturgeon,13,1
5/20/1998,1998,May,704,20mm,Acipenser transmontanus,White Sturgeon,12,3
5/20/1998,1998,May,706,20mm,Acipenser transmontanus,White Sturgeon,13,1
5/20/1998,1998,May,706,20mm,Acipenser transmontanus,White Sturgeon,12,1
5/20/1998,1998,May,706,20mm,Acipenser transmontanus,White Sturgeon,12,1
5/20/1998,1998,May,706,20mm,Acipenser transmontanus,White Sturgeon,11,1
6/2/1998,1998,Jun,707,20mm,Acipenser transmontanus,White Sturgeon,15,1
6/2/1998,1998,Jun,711,20mm,Acipenser transmontanus,White Sturgeon,12,1
6/3/1998,1998,Jun,706,20mm,Acipenser transmontanus,White Sturgeon,40,1
6/3/1998,1998,Jun,706,20mm,Acipenser transmontanus,White Sturgeon,30,1
6/28/1998,1998,Jun,902,20mm,Acipenser transmontanus,White Sturgeon,15,1
4/13/1999,1999,Apr,812,20mm,Acipenser transmontanus,White Sturgeon,12,1
4/13/1999,1999,Apr,812,20mm,Acipenser transmontanus,White Sturgeon,12,1
4/13/1999,1999,Apr,812,20mm,Acipenser transmontanus,White Sturgeon,12,1
4/13/1999,1999,Apr,812,20mm,Acipenser transmontanus,White Sturgeon,11,1
4/13/1999,1999,Apr,812,20mm,Acipenser transmontanus,White Sturgeon,10,1
4/17/1999,1999,Apr,519,20mm,Acipenser transmontanus,White Sturgeon,12,1
6/21/1999,1999,Jun,902,20mm,Acipenser transmontanus,White Sturgeon,11,1
3/21/2000,2000,Mar,707,20mm,Acipenser transmontanus,White Sturgeon,11,1
3/21/2000,2000,Mar,707,20mm,Acipenser transmontanus,White Sturgeon,12,1
3/21/2000,2000,Mar,707,20mm,Acipenser transmontanus,White Sturgeon,19,1
3/21/2000,2000,Mar,707,20mm,Acipenser transmontanus,White Sturgeon,13,1
3/21/2000,2000,Mar,707,20mm,Acipenser transmontanus,White Sturgeon,12,1
3/21/2000,2000,Mar,707,20mm,Acipenser transmontanus,White Sturgeon,11,1
3/21/2000,2000,Mar,711,20mm,Acipenser transmontanus,White Sturgeon,11,2
3/21/2000,2000,Mar,711,20mm,Acipenser transmontanus,White Sturgeon,11,2
3/21/2000,2000,Mar,711,20mm,Acipenser transmontanus,White Sturgeon,12,2
3/22/2000,2000,Mar,704,20mm,Acipenser transmontanus,White Sturgeon,13,1
3/22/2000,2000,Mar,704,20mm,Acipenser transmontanus,White Sturgeon,14,1
3/23/2000,2000,Mar,501,20mm,Acipenser transmontanus,White Sturgeon,14,1
3/25/2000,2000,Mar,519,20mm,Acipenser transmontanus,White Sturgeon,15,1
4/5/2001,2001,Apr,606,20mm,Acipenser transmontanus,White Sturgeon,154,1
3/25/2003,2003,Mar,707,20mm,Acipenser transmontanus,White Sturgeon,19,1
5/10/2003,2003,May,519,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/18/2006,2006,Apr,707,20mm,Acipenser transmontanus,White Sturgeon,21,1
4/18/2006,2006,Apr,707,20mm,Acipenser transmontanus,White Sturgeon,11,2
4/18/2006,2006,Apr,707,20mm,Acipenser transmontanus,White Sturgeon,10,1
4/19/2006,2006,Apr,508,20mm,Acipenser transmontanus,White Sturgeon,13,1
4/19/2006,2006,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,13,2
4/19/2006,2006,Apr,704,20mm,Acipenser transmontanus,White Sturgeon,13,2
4/19/2006,2006,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,14,1
4/19/2006,2006,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,12,3
4/19/2006,2006,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,11,1
4/19/2006,2006,Apr,706,20mm,Acipenser transmontanus,White Sturgeon,12,1
7/15/2006,2006,Jul,328,20mm,Acipenser transmontanus,White Sturgeon,664,1
4/16/2008,2008,Apr,609,20mm,Acipenser transmontanus,White Sturgeon,420,1
4/30/2008,2008,Apr,508,20mm,Acipenser transmontanus,White Sturgeon,510,1
3/12/2009,2009,Mar,606,20mm,Acipenser transmontanus,White Sturgeon,530,1
2/8/1980,1980,Feb,431,Bay Study,Acipenser transmontanus,White Sturgeon,795,1
3/11/1980,1980,Mar,429,Bay Study,Acipenser transmontanus,White Sturgeon,430,1
3/11/1980,1980,Mar,429,Bay Study,Acipenser transmontanus,White Sturgeon,430,1
6/9/1980,1980,Jun,432,Bay Study,Acipenser transmontanus,White Sturgeon,685,1
7/3/1980,1980,Jul,431,Bay Study,Acipenser transmontanus,White Sturgeon,574,1
7/7/1980,1980,Jul,534,Bay Study,Acipenser transmontanus,White Sturgeon,512,1
8/7/1980,1980,Aug,534,Bay Study,Acipenser transmontanus,White Sturgeon,598,1
8/7/1980,1980,Aug,534,Bay Study,Acipenser transmontanus,White Sturgeon,556,1
8/7/1980,1980,Aug,534,Bay Study,Acipenser transmontanus,White Sturgeon,598,1
8/7/1980,1980,Aug,534,Bay Study,Acipenser transmontanus,White Sturgeon,556,1
8/7/1980,1980,Aug,534,Bay Study,Acipenser transmontanus,White Sturgeon,286,1
9/5/1980,1980,Sep,431,Bay Study,Acipenser transmontanus,White Sturgeon,490,2
9/8/1980,1980,Sep,534,Bay Study,Acipenser transmontanus,White Sturgeon,510,1
9/8/1980,1980,Sep,534,Bay Study,Acipenser transmontanus,White Sturgeon,491,1
9/8/1980,1980,Sep,534,Bay Study,Acipenser transmontanus,White Sturgeon,304,1
10/3/1980,1980,Oct,427,Bay Study,Acipenser transmontanus,White Sturgeon,1100,1
10/6/1980,1980,Oct,535,Bay Study,Acipenser transmontanus,White Sturgeon,725,1
10/6/1980,1980,Oct,535,Bay Study,Acipenser transmontanus,White Sturgeon,312,1
10/6/1980,1980,Oct,535,Bay Study,Acipenser transmontanus,White Sturgeon,300,1
10/6/1980,1980,Oct,736,Bay Study,Acipenser transmontanus,White Sturgeon,578,1
3/9/1981,1981,Mar,736,Bay Study,Acipenser transmontanus,White Sturgeon,348,1
4/6/1981,1981,Apr,428,Bay Study,Acipenser transmontanus,White Sturgeon,340,1
4/6/1981,1981,Apr,534,Bay Study,Acipenser transmontanus,White Sturgeon,332,1
6/9/1981,1981,Jun,320,Bay Study,Acipenser transmontanus,White Sturgeon,860,1
7/13/1981,1981,Jul,535,Bay Study,Acipenser transmontanus,White Sturgeon,750,1
